Jacobi,Gauss-Seidel
0.6031569666230183,0.3704638857994378
0.3491945575294913,0.06327342481972109
0.2007050227113083,0.02702263281693773
0.1167493773065078,0.005006923383978068
0.06726104273567124,0.001119154638325237
0.03897426705561252,0.00038594451313833655
0.02252365516578958,6.5532607584462e-05
0.013026966948998409,1.8883580986062132e-05
0.007534886508378191,5.383930394897707e-06
0.0043568253282184055,8.234243155658127e-07
0.002519963187628649,3.0744856893694106e-07
0.001457245929799067,7.89202578288517e-08
0.0008427809303019895,9.778270859683857e-09
0.000487394857175083,4.8620300563406715e-09
0.0002818699875892783,1.1588874859747023e-09
0.00016301220450759546,1.0631345803702175e-10
9.427303329484493e-05,7.497574783243977e-11
5.452022883523089e-05,1.664818283231284e-11
3.1530168965399064e-05,1.7684742559254119e-12
1.823457196459266e-05,1.130151527917178e-12
1.0545440012832419e-05,2.337574578348267e-13
6.098650865427047e-06,3.4861002973229915e-14
