a,b,n,Rectangles,Trapezoidal,Simpson,Gauss-Legendre

-5,-1,2,136.0,88.0,82.66666666666666,82.66666666666667
-5,-1,3,117.03703703703702,85.03703703703704,-,82.66666666666667
-5,-1,4,108.0,84.0,82.66666666666666,82.66666666666666
-5,-1,5,102.72,83.52,-,82.66666666666667

-2,0,2,10.0,6.0,5.333333333333333,5.333333333333334
-2,0,3,8.296296296296298,5.629629629629631,-,5.333333333333334
-2,0,4,7.5,5.5,5.333333333333333,5.333333333333333
-2,0,5,7.040000000000001,5.4399999999999995,-,5.333333333333332

-1,1,2,2.0,2.0,1.3333333333333333,1.3333333333333335
-1,1,3,1.6296296296296295,1.6296296296296295,-,1.3333333333333335
-1,1,4,1.5,1.5,1.3333333333333333,1.333333333333333
-1,1,5,1.4400000000000002,1.4400000000000002,-,1.333333333333333

0,2,2,2.0,6.0,5.333333333333333,5.333333333333333
0,2,3,2.962962962962963,5.62962962962963,-,5.333333333333334
0,2,4,3.5,5.5,5.333333333333333,5.333333333333334
0,2,5,3.8400000000000007,5.440000000000001,-,5.333333333333333

1,5,2,40.0,88.0,82.66666666666666,82.66666666666666
1,5,3,53.037037037037024,85.03703703703702,-,82.66666666666666
1,5,4,60.0,84.0,82.66666666666666,82.66666666666667
1,5,5,64.32000000000001,83.52000000000001,-,82.66666666666666
