a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,13.17498574541273,1.5484374436923183,4.012723609916755
-10,-2,4,4.727046862182736,-1.0862272886774695,-1.9644488661340653
-10,-2,6,2.4421941564258223,-1.4333219441476481,-1.7291221993469656
-10,-2,8,1.3583201616622702,-1.548316913767833,-1.702346788797953
-10,-2,10,0.7248121167305268,-1.6004975436135558,-1.695862712700659
-10,-2,12,0.3091838715204973,-1.628574178766237,-1.6936582569724332
-10,-2,14,0.015521802500394033,-1.64541366917395,-1.69274117557134
-10,-2,16,-0.20298877957503114,-1.656307317290083,-1.6923041184641658
-10,-2,18,-0.3719210662682093,-1.663759766459365,-1.692074284069742
-10,-2,20,-0.5064275769936021,-1.6690824071656445,-1.6919440283496736
-4,0,2,-1.219959452142028,-4.247169433373741,-7.681032565319462
-4,0,4,-4.540343697542069,-6.053948688157925,-6.656208439752653
-4,0,6,-5.358686132563012,-6.367756126306915,-6.62223611446227
-4,0,8,-5.7193907320162225,-6.476193227324151,-6.616941407046225
-4,0,10,-5.920702076350851,-6.5261440725971935,-6.615533447824914
-4,0,12,-6.04867970703572,-6.553214703907672,-6.615034229774592
-4,0,14,-6.137057469592247,-6.569516038339636,-6.614821766037936
-4,0,16,-6.201686387183293,-6.580087634837256,-6.614719104008292
-4,0,18,-6.2509749176935445,-6.587331582274846,-6.614664627755307
-4,0,20,-6.289790190652242,-6.592511188775411,-6.61463356083482
-2,2,2,-7.274379414605454,0.0,0.0
-2,2,4,-3.637189707302727,4.440892098500626e-16,0.0
-2,2,6,-2.4247931382018173,0.0,-7.894919286223335e-16
-2,2,8,-1.8185948536513636,0.0,-2.9605947323337506e-16
-2,2,10,-1.4548758829210893,6.661338147750939e-16,1.3026616822268502e-15
-2,2,12,-1.21239656910091,-2.220446049250313e-16,-9.86864910777917e-16
-2,2,14,-1.039197059229351,-1.1102230246251565e-15,-1.3534147347811431e-15
-2,2,16,-0.9092974268256813,6.661338147750939e-16,-2.220446049250313e-16
-2,2,18,-0.8082643794006069,-7.771561172376096e-16,-1.1842378929335002e-15
-2,2,20,-0.7274379414605456,4.440892098500626e-16,5.921189464667501e-16
0,4,2,7.274379414605454,4.247169433373741,7.681032565319462
0,4,4,7.567553678773781,6.0539486881579245,6.656208439752653
0,4,6,7.376826120050821,6.367756126306918,6.622236114462273
0,4,8,7.232995722632079,6.476193227324151,6.616941407046225
0,4,10,7.131586068843536,6.5261440725971935,6.615533447824912
0,4,12,7.057749700779625,6.553214703907673,6.615034229774593
0,4,14,7.001974607087023,6.569516038339637,6.614821766037936
0,4,16,6.958488882491221,6.580087634837257,6.614719104008293
0,4,18,6.9236882468561465,6.587331582274845,6.6146646277553085
0,4,20,6.895232186898582,6.592511188775411,6.614633560834818
2,10,2,10.078110858028094,-1.5484374436923183,-4.012723609916755
2,10,4,6.8995014395376755,1.0862272886774695,1.9644488661340653
2,10,6,5.308838044721121,1.4333219441476515,1.7291221993469703
2,10,8,4.454953989197935,1.5483169137678323,1.7023467887979535
2,10,10,3.925807203957641,1.600497543613559,1.69586271270066
2,10,12,3.5663322290529758,1.6285741787662404,1.6936582569724372
2,10,14,3.3063491408483032,1.6454136691739594,1.6927411755713488
2,10,16,3.1096258550051337,1.656307317290083,1.6923041184641665
2,10,18,2.955598466650522,1.663759766459366,1.6920742840697423
2,10,20,2.8317372373376832,1.6690824071656414,1.6919440283496698
