Jacobi,Gauss-Seidel
0.49953563687626723,0.43879377479906495
0.19262905010747738,0.11132828504725537
0.090072397645189,0.030251809679264278
0.033892069584921206,0.006403694631312264
0.01581079324961247,0.001378244985902343
0.007023482599385549,0.00029270273354444973
0.0031625118830114034,6.527322466700833e-05
0.0014185888068274054,1.4223447318228305e-05
0.0006345849553741727,3.0918028715055945e-06
0.0002887646127106673,6.691027075976519e-07
0.0001295169517728824,1.4488981514224064e-07
5.8323998571207375e-05,3.149574720126558e-08
2.6385955252245658e-05,6.845799493254701e-09
1.185667590372988e-05,1.4863388402008848e-09
5.35061662077993e-06,3.226129745292905e-10
2.4126896288438615e-06,7.002385823962065e-11
1.0864178867676932e-06,1.5202946540560092e-11
