a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,1088.0,704.0,661.3333333333333
-10,-2,4,864.0,672.0,661.3333333333333
-10,-2,6,794.0740740740741,666.074074074074,661.3333333333333
-10,-2,8,760.0,664.0,661.3333333333333
-10,-2,10,739.84,663.04,661.3333333333333
-10,-2,12,726.5185185185186,662.5185185185186,661.3333333333335
-10,-2,14,717.0612244897959,662.2040816326531,661.3333333333333
-10,-2,16,710.0,662.0,661.3333333333333
-10,-2,18,704.5267489711936,661.8600823045267,661.3333333333333
-10,-2,20,700.1599999999999,661.76,661.3333333333334
-4,0,2,80.0,48.0,42.666666666666664
-4,0,4,60.0,44.0,42.666666666666664
-4,0,6,53.92592592592594,43.25925925925927,42.66666666666667
-4,0,8,51.0,43.0,42.666666666666664
-4,0,10,49.28000000000001,42.88,42.666666666666664
-4,0,12,48.14814814814815,42.81481481481481,42.666666666666664
-4,0,14,47.34693877551021,42.775510204081634,42.66666666666667
-4,0,16,46.75,42.75,42.666666666666664
-4,0,18,46.2880658436214,42.732510288065846,42.666666666666664
-4,0,20,45.92,42.72,42.666666666666664
-2,2,2,16.0,16.0,10.666666666666666
-2,2,4,12.0,12.0,10.666666666666666
-2,2,6,11.25925925925926,11.25925925925926,10.666666666666666
-2,2,8,11.0,11.0,10.666666666666666
-2,2,10,10.880000000000003,10.88,10.666666666666668
-2,2,12,10.814814814814815,10.814814814814817,10.666666666666664
-2,2,14,10.775510204081632,10.77551020408163,10.666666666666666
-2,2,16,10.75,10.75,10.666666666666666
-2,2,18,10.732510288065841,10.732510288065841,10.666666666666666
-2,2,20,10.720000000000004,10.720000000000002,10.666666666666668
0,4,2,16.0,48.0,42.666666666666664
0,4,4,28.0,44.0,42.666666666666664
0,4,6,32.59259259259259,43.25925925925925,42.666666666666664
0,4,8,35.0,43.0,42.666666666666664
0,4,10,36.48000000000001,42.88000000000001,42.666666666666664
0,4,12,37.481481481481474,42.81481481481481,42.666666666666664
0,4,14,38.20408163265305,42.77551020408163,42.66666666666666
0,4,16,38.75,42.75,42.666666666666664
0,4,18,39.17695473251028,42.73251028806584,42.666666666666664
0,4,20,39.52000000000001,42.720000000000006,42.666666666666664
2,10,2,320.0,704.0,661.3333333333333
2,10,4,480.0,672.0,661.3333333333333
2,10,6,538.0740740740739,666.0740740740739,661.3333333333331
2,10,8,568.0,664.0,661.3333333333333
2,10,10,586.24,663.0400000000001,661.3333333333334
2,10,12,598.5185185185185,662.5185185185184,661.3333333333333
2,10,14,607.3469387755101,662.2040816326529,661.3333333333333
2,10,16,614.0,662.0,661.3333333333333
2,10,18,619.19341563786,661.8600823045267,661.3333333333333
2,10,20,623.3600000000001,661.7600000000001,661.3333333333334
