a,b,n,Rectangles,Trapezoidal,Simpson
-10,-2,2,0.010096608425715373,0.2806763750394158,0.19372758916405414
-10,-2,4,0.04235050724613107,0.17764039055298128,0.14329506239083645
-10,-2,6,0.06456977632133948,0.15476303185923962,0.13724200148827492
-10,-2,8,0.07873556075965614,0.14638050241308126,0.13596053969978122
-10,-2,10,0.08831357984805598,0.1424295331707961,0.13557576640198696
-10,-2,12,0.09516726384284929,0.14026389161179936,0.1354308448626526
-10,-2,14,0.10029710820307333,0.13895136057645913,0.13536700985990452
-10,-2,16,0.10427427727230179,0.13809674809901434,0.13533549666099204
-10,-2,18,0.10744516140299071,0.13750957991562407,0.13531853436311933
-10,-2,20,0.11003097970125014,0.1370889563626202,0.13530876409322823
-4,0,2,0.30730184425069373,1.2889862053619596,1.0397711812234567
-4,0,4,0.5713174316646532,1.062159612220286,0.9865507478397282
-4,0,6,0.690548415895813,1.0177765362662348,0.9827072000070264
-4,0,8,0.7566303167859669,1.0020514070637832,0.9820153386782824
-4,0,10,0.798401841810142,0.9947387140323951,0.9818213630234539
-4,0,12,0.827143182621763,0.990757242806974,0.9817508116538869
-4,0,14,0.8481127947403371,0.9883534177562321,0.9817203544577021
-4,0,16,0.8640814372878228,0.986791982426731,0.9817055075477137
-4,0,18,0.8766448532481507,0.9857208933716246,0.9816975832544564
-4,0,20,0.8867860267586044,0.9849544628697311,0.9816930458155096
-2,2,2,2.2706705664732256,9.524391382167263,7.682927588111508
-2,2,4,4.2214965528671,7.848356960714119,7.289678820229737
-2,2,6,5.102500984081855,7.520407922646534,7.2612786296749805
-2,2,8,5.590783856883178,7.404214060806687,7.25616642750421
-2,2,10,5.8994359986246945,7.350180161763501,7.254733130508857
-2,2,12,6.111807378240246,7.320760847522586,7.2542118224812695
-2,2,14,6.266753018557207,7.30299884937064,7.253986772550045
-2,2,16,6.38474621416435,7.291461316126105,7.253877067899244
-2,2,18,6.477577999489412,7.283546979010971,7.253818514851822
-2,2,20,6.5525116994671455,7.277883781036549,7.2537849874608975
0,4,2,16.7781121978613,70.37626223100554,56.76958295257789
0,4,4,31.19287485057736,57.991949867149486,53.863845745864126
0,4,6,37.70266601622968,55.56871602727775,53.6539951446347
0,4,8,41.31061555550567,54.71015306379173,53.616220796005805
0,4,10,43.59126354588882,54.31089355251767,53.60563008410071
0,4,12,45.16048758367543,54.09351258919948,53.60177810984005
0,4,14,46.30538961226219,53.96226818842565,53.60011520327316
0,4,16,47.17724795389547,53.8770167080385,53.599304589454086
0,4,18,47.86318722342624,53.81853722710893,53.59887193770193
0,4,20,48.41687653626215,53.776691539576575,53.59862420192953
2,10,2,1643.271398366663,45681.424875782235,31530.09336650212
2,10,4,6892.7479733330765,28911.824712040863,23321.957990793737
2,10,6,10509.040477151346,25188.424969623204,22336.793326150808
2,10,8,12814.589768696145,23824.128138050037,22128.229280053092
2,10,10,14373.458267635891,23181.088963119008,22065.60558222698
2,10,12,15488.928176660243,22828.620422896172,22042.018907320497
2,10,14,16323.834925520463,22614.9997080084,22031.629454762995
2,10,16,16971.138247820858,22475.907432497803,22026.500530647056
2,10,18,17487.214833124963,22380.342997282245,22023.739835394805
2,10,20,17908.069150905627,22311.88449864718,22022.149677156573
